title,venue_url,category,venue,address,city,country,open_date,close_date,booking_start_date,booking_end_date,upcoming_performances,capacity,currency,seat_pricing,scrape_datetime
BILIETAI.LT Dovanų čekis,https://www.bilietai.lt/eng/tickets/dovanu-cekiai2/bilietai-lt-gift-certificate/bilietailt-dovanu-cekis-365158/,event,Dovanų čekis,Dovanų čekis,,Lithuania,,,,,,,EUR,,2026-02-21T10:56:37.733506
Volfas Engelman ICE non-alco: DEEP DISH,https://www.bilietai.lt/eng/tickets/koncertai/volfas-engelman-ice-non-alco-deep-dish-493557/,concert,Volfas Engelman galerija,"Kaunakiemio g. 2, Kaunas",Kaunas,Lithuania,2026-06-13T00:00:00,2026-06-14T00:00:00,,2026-06-14T00:00:00,,,EUR,,2026-02-21T10:56:44.562552
Rokas Yan | Alkis,https://www.bilietai.lt/eng/tickets/koncertai/rokas-yan--alkis-102807/,concert,Unknown,,,Lithuania,2026-11-20T00:00:00,2026-12-18T00:00:00,,2026-12-18T00:00:00,,,EUR,,2026-02-21T10:56:51.442790
Metų muzikos apdovanojimai M.A.M.A. 2026,https://www.bilietai.lt/eng/tickets/koncertai/metu-muzikos-apdovanojimai-mama-2026-494840/,concert,Kauno Žalgirio arena,"Nemuno sala, Karaliaus Mindaugo pr. 50, Kaunas",Kaunas,Lithuania,2027-01-29T00:00:00,2027-01-29T00:00:00,,2027-01-29T00:00:00,,,EUR,,2026-02-21T10:56:58.028517
Ledo šou ''STICHIJOS 2: Pasadoblis'',https://www.bilietai.lt/eng/tickets/koncertai/ledo-sou-stichijos-2-pasadoblis-484896/,concert,Kauno Žalgirio arena,"Nemuno sala, Karaliaus Mindaugo pr. 50, Kaunas",Kaunas,Lithuania,2026-03-13T00:00:00,2026-03-13T00:00:00,,2026-03-13T00:00:00,,,EUR,,2026-02-21T10:57:04.798636
The Phantom of the Opera,https://www.bilietai.lt/eng/tickets/koncertai/the-phantom-of-the-opera-101987/,concert,Twinsbet Arena,"Ozo g. 14, Vilnius",Vilnius,Lithuania,2026-05-19T00:00:00,2026-05-24T00:00:00,,2026-05-24T00:00:00,,,EUR,,2026-02-21T10:57:12.012711
VISO FESTIVALIO BILIETAS | AIDAS 2026,https://www.bilietai.lt/eng/tickets/koncertai/viso-festivalio-bilietas--aidas-2026-492658/,concert,Dūmų fabrikas,"Dūmų g. 5, Vilnius",Vilnius,Lithuania,2026-01-09T00:00:00,2026-03-11T00:00:00,,2026-03-11T00:00:00,,,EUR,,2026-02-21T10:57:18.784543
ČIURLIONIS: MATAU MUZIKĄ. PRIVATŪS SEANSAI,https://www.bilietai.lt/eng/tickets/koncertai/ciurlionis-matau-muzika-privatus-seansai-492369/,concert,MUZIKOS SVETAINĖ,"Gedimino pr. 32-2, Vilnius",Vilnius,Lithuania,2026-01-16T00:00:00,2026-12-31T00:00:00,,2026-12-31T00:00:00,,,EUR,,2026-02-21T10:57:25.897670
Meškinų muziejus ''PLUSHY B 55'',https://www.bilietai.lt/eng/tickets/koncertai/meskinu-muziejus-plushy-b-55-493875/,concert,Raganiukės teatras,"S. Stanevičiaus g. 24, Vilnius",Vilnius,Lithuania,2026-02-21T00:00:00,2026-02-21T00:00:00,,2026-02-21T00:00:00,,,EUR,,2026-02-21T10:57:32.779756
LVSO VAIKAMS | ''LAUKINĖ SIMFONIJA'',https://www.bilietai.lt/eng/tickets/koncertai/lvso-vaikams--laukine-simfonija-488785/,concert,LVSO koncertų salė,"Vilniaus g. 6, Vilnius",Vilnius,Lithuania,2026-02-21T00:00:00,2026-02-21T00:00:00,,2026-02-21T00:00:00,,,EUR,,2026-02-21T10:57:39.887658
Yusuke Ishii koncertas ''M. K. Čiurlionis: nuo Vilniaus iki Tokijo'',https://www.bilietai.lt/eng/tickets/koncertai/yusuke-ishii-koncertas-m-k-ciurlionis-nuo-vilniaus-iki-tokijo-487410/,concert,"Lietuvos teatro, muzikos ir kino muziejus","Vilniaus g. 41, Vilnius",Vilnius,Lithuania,2026-02-21T00:00:00,2026-02-21T00:00:00,,2026-02-21T00:00:00,,,EUR,,2026-02-21T10:57:47.099306
Ekskursijos su personažu ''Kretingos dvaras iki ateinant šviesai'',https://www.bilietai.lt/eng/tickets/koncertai/ekskursijos-su-personazu-kretingos-dvaras-iki-ateinant-sviesai-491929/,concert,Kretingos muziejus,"Vilniaus g. 20, Kretinga",Kretinga,Lithuania,2026-02-21T00:00:00,2026-02-21T00:00:00,,2026-02-21T00:00:00,,,EUR,,2026-02-21T10:57:54.059464
