title,venue_url,category,venue,address,city,country,open_date,close_date,booking_start_date,booking_end_date,upcoming_performances,capacity,currency,seat_pricing,scrape_datetime
Katarsis - Vilnius - Lukiškių kalėjimas 2.0,https://www.bilietai.lt/eng/tickets/koncertai/katarsis-vilnius-lukiskiu-kalejimas-20-494666/,concert,Lukiškių kalėjimas 2.0,"Lukiškių skg. 6, Vilnius",Vilnius,Lithuania,2026-08-20T00:00:00,2026-08-20T00:00:00,,2026-08-20T00:00:00,,,EUR,,2026-02-21T17:47:00.741641
LIUKABU | Kosminė dėlionė | NAUJA PROGRAMA,https://www.bilietai.lt/eng/tickets/koncertai/liukabu--kosmine-delione--nauja-programa-101751/,concert,Unknown,,,Lithuania,2026-03-01T00:00:00,2026-04-05T00:00:00,,2026-04-05T00:00:00,,,EUR,,2026-02-21T17:47:08.708927
KÄÄRIJÄ | EURODISKO-TOUR 2026,https://www.bilietai.lt/eng/tickets/koncertai/kaarija--eurodisko-tour-2026-488765/,concert,Menų fabrikas LOFTAS,"Švitrigailos g. 29, Vilnius",Vilnius,Lithuania,2026-10-27T00:00:00,2026-10-27T00:00:00,,2026-10-27T00:00:00,,,EUR,,2026-02-21T17:47:15.929265
SEL 50 | Kaunas 2026,https://www.bilietai.lt/eng/tickets/koncertai/sel-50--kaunas-2026-480549/,concert,Kauno Žalgirio arena,"Nemuno sala, Karaliaus Mindaugo pr. 50, Kaunas",Kaunas,Lithuania,2026-12-12T00:00:00,2026-12-12T00:00:00,,2026-12-12T00:00:00,,,EUR,,2026-02-21T17:47:23.414509
Acoustic: Mėlyna - Lukiškių kalėjimas 2.0,https://www.bilietai.lt/eng/tickets/koncertai/acoustic-melyna-lukiskiu-kalejimas-20-487327/,concert,Lukiškių kalėjimas 2.0,"Lukiškių skg. 6, Vilnius",Vilnius,Lithuania,2026-03-06T00:00:00,2026-03-06T00:00:00,,2026-03-06T00:00:00,,,EUR,,2026-02-21T17:47:31.075712
Ingmar Bergman ''Rudens sonata'',https://www.bilietai.lt/eng/tickets/teatras/ingmar-bergman-rudens-sonata-492033/,theatre,Teatras Meno fortas,"Bernardinų g. 8, Vilnius",Vilnius,Lithuania,2026-02-26T00:00:00,2026-02-26T00:00:00,,2026-02-26T00:00:00,,,EUR,,2026-02-21T17:47:38.574195
ANOMALIJA | Mischluft,https://www.bilietai.lt/eng/tickets/koncertai/anomalija--mischluft-494232/,concert,Kablys,"Kauno g. 5, Vilnius",Vilnius,Lithuania,2026-04-17T00:00:00,2026-04-18T00:00:00,,2026-04-18T00:00:00,,,EUR,,2026-02-21T17:47:45.774067
Paulius Stalionis pristato geriausių dainų koncertinę programą!,https://www.bilietai.lt/eng/tickets/koncertai/paulius-stalionis-pristato-geriausiu-dainu-koncertine-programa-492858/,concert,Druskininkų jaunimo užimtumo centras,"Veisiejų g. 17H, Druskininkai",Druskininkai,Lithuania,2026-02-26T00:00:00,2026-02-26T00:00:00,,2026-02-26T00:00:00,,,EUR,,2026-02-21T17:47:53.383153
Koncertinis turas. Inga Valinskienė VISADA JŪSŲ,https://www.bilietai.lt/eng/tickets/koncertai/koncertinis-turas-inga-valinskiene-visada-jusu-473786/,concert,Twinsbet Arena,"Ozo g. 14, Vilnius",Vilnius,Lithuania,2026-03-07T00:00:00,2026-03-07T00:00:00,,2026-03-07T00:00:00,,,EUR,,2026-02-21T17:48:01.319083
MURMURS - tarptautinis muzikos festivalis,https://www.bilietai.lt/eng/tickets/koncertai/murmurs-tarptautinis-muzikos-festivalis-102337/,concert,Kablys,"Kauno g. 5, Vilnius",Vilnius,Lithuania,2026-02-26T00:00:00,2026-02-27T00:00:00,,2026-02-27T00:00:00,,,EUR,,2026-02-21T17:48:08.086395
